,tweets,id,language,len,date,source,likes,retweets,sentiment
93,Domestic flights have resumed operations in Hubei Province except for the Tianhe International Airport in Wuhan… https://t.co/Nn7DGWEP8H,1244463610148958208,en,136,2020-03-30 03:17:00,China Xinhua News,164,47,0.0
94,"Explore Internet giant Tencent's ""information factory"" in Shanghai. 
It boasts one of the most advanced cloud compu… https://t.co/uP7jXbDqyt",1244462553398300672,en,140,2020-03-30 03:12:48,China Xinhua News,84,43,0.3
95,"Every dog has its day!
A sniffer dog in east China's Jiangxi is enjoying its day in the sun and bath. Take a look. https://t.co/agBGpp9QKI",1244462383919030273,en,138,2020-03-30 03:12:07,China Xinhua News,124,23,0.5
96,The fourth batch of medical supplies provided by the Chinese government arrives in Pakistan to help fight #COVID19… https://t.co/ZRpMywYLl8,1244458110699241473,en,139,2020-03-30 02:55:09,China Xinhua News,386,75,0.0
97,"The United States has reported more than 140,000 confirmed #COVID19 cases by Sunday. U.S. President Donald Trump sa… https://t.co/W3e91gNiKA",1244457865672151040,en,140,2020-03-30 02:54:10,China Xinhua News,182,99,0.45
98,"No bird is left behind!
One of the most popular tourist activities is to feed the wintering black-headed gulls by t… https://t.co/Ug2yf0T1o8",1244457023367864320,en,140,2020-03-30 02:50:49,China Xinhua News,59,17,0.10666666666666666
99,"#COVID19 death toll climbs to 57 in Ecuador, 1,890 test positive https://t.co/Upr8UMnn97 https://t.co/COuaGhDXLR",1244455123419455488,en,112,2020-03-30 02:43:16,China Xinhua News,34,15,0.22727272727272727
100,Chinese medical team helps combat COVID-19 pandemic in Cambodia https://t.co/oBdvKQjugS https://t.co/so73xx64gR,1244454422148571138,en,111,2020-03-30 02:40:29,China Xinhua News,223,66,0.0
101,"#DPRK conducts test-firing of ""super-large multiple rocket launchers"" https://t.co/JGdi32Xetf https://t.co/ORVfyHI0Hq",1244451444129841152,en,117,2020-03-30 02:28:39,China Xinhua News,44,18,0.18253968253968253
102,Opinion: Unity to lead world toward victory over pandemic https://t.co/YlMEYW8zxl https://t.co/q1gdisz3pv,1244450597362794496,en,105,2020-03-30 02:25:17,China Xinhua News,90,20,0.0
103,Japanese analyst says all countries in the world should unite in fighting against COVID-19 https://t.co/U0sw7nOXuE https://t.co/OWmc5BVmPZ,1244444834598760448,en,138,2020-03-30 02:02:23,China Xinhua News,95,34,0.0
104,#Wuhan reports zero increase in #COVID19 cases https://t.co/Z4Usf717y2 https://t.co/qkT8Y8dBYd,1244435713166196736,en,94,2020-03-30 01:26:09,China Xinhua News,262,71,0.0
105,"Chinese mainland reported 31 new confirmed COVID-19 cases on Sunday, including one domestic case and 30 imported fr… https://t.co/BEU57Sxyrq",1244434420972449792,en,140,2020-03-30 01:21:01,China Xinhua News,72,26,0.1340909090909091
106,"322 #COVID19 patients are discharged from the hospital Sunday on the Chinese mainland, bringing the total number of… https://t.co/lS4iXzqTRR",1244433869845049344,en,140,2020-03-30 01:18:49,China Xinhua News,56,23,0.0
107,Tom Hanks and Rita Wilson have returned to the United States after going into self-quarantine in Australia. The cou… https://t.co/XnX11KP5QQ,1244428387910701056,en,140,2020-03-30 00:57:02,China Xinhua News,60,22,0.0
108,Check out this special edition on the official app of Xinhua to see #WhatPresidentXiSays when he holds a phone conv… https://t.co/tkWeXLQSoA,1244428367958425603,en,140,2020-03-30 00:56:57,China Xinhua News,31,11,0.35714285714285715
109,"Despite what the internet claims, Americans aren't expected to wear masks everywhere https://t.co/5ClzZu4Oui",1244426206591635456,en,108,2020-03-30 00:48:22,China Xinhua News,74,35,-0.1
110,"Trump extends national social distancing guidelines to April 30 to slow spread of #COVID19.
COVID-19 death rate in… https://t.co/DyrMVuzRhY",1244424424150847488,en,139,2020-03-30 00:41:17,China Xinhua News,34,20,-0.13333333333333336
111,Caught on Cam: the number of wild animals is on the rise as the ecological environment continues to improve in the… https://t.co/Mf6yxerijr,1244416895161233408,en,139,2020-03-30 00:11:22,China Xinhua News,89,19,0.25
112,Watch how masks are produced in China. #FightVirus https://t.co/f0rIZDyeeZ,1244397099484991493,en,74,2020-03-29 22:52:42,China Xinhua News,605,248,0.0
113,"Boredom, anxiety, and even bit of depression: As home quarantine has become necessity around world amid outbreak of… https://t.co/q8wTR1AuU4",1244381287411941376,en,140,2020-03-29 21:49:53,China Xinhua News,30,18,0.0
114,The Department of Agriculture of British Columbia Province (BC) of Canada announced a plan on Friday to help BC Far… https://t.co/o4lbbBG1ok,1244373322273452032,en,140,2020-03-29 21:18:14,China Xinhua News,50,24,0.05
115,Breathtaking views of snow-capped mountains. #AmazingChina https://t.co/LGpFx38jNH,1244366434534215680,en,82,2020-03-29 20:50:51,China Xinhua News,264,62,1.0
116,Moscow residents will not be allowed to leave their apartments unless for exceptional reasons from Monday… https://t.co/5oW1rkELVB,1244352948378808320,en,130,2020-03-29 19:57:16,China Xinhua News,65,41,0.6666666666666666
117,"U.S. deaths from coronavirus could reach 200,000 with millions of cases, the government's top infectious diseases e… https://t.co/KsnaspeSs8",1244351848863035392,en,140,2020-03-29 19:52:54,China Xinhua News,76,52,0.5
118,"#BREAKING: #COVID19 cases exceed 700,000 globally, according to Johns Hopkins University https://t.co/PF6Vw3clyJ",1244334784232341504,en,112,2020-03-29 18:45:05,China Xinhua News,212,96,0.0
119,"Here's our Sunday Asia-Pacific #COVID19 news pack https://t.co/scVyIJLDWz
-- Nepal to extend national lockdown
-- V… https://t.co/MXAk9w3uIY",1244332195935731712,en,140,2020-03-29 18:34:48,China Xinhua News,80,29,0.0
120,"#Coronavirus in Britain: ""Please, please stay at home"" https://t.co/wTvRFtTHT5 https://t.co/C6z94fPMlM",1244330996985556992,en,102,2020-03-29 18:30:02,China Xinhua News,44,13,0.0
121,"Germany's #COVID19 cases rise above 50,000 https://t.co/a1VeldABWO https://t.co/oQHEK8QQUC",1244330216756936704,en,90,2020-03-29 18:26:56,China Xinhua News,43,21,0.0
122,Canadian PM Justin Trudeau continues self-isolating after his wife's recovery from #COVID19 https://t.co/irPTJWOCXK https://t.co/PPDMSdbqHt,1244327783871827968,en,139,2020-03-29 18:17:16,China Xinhua News,99,21,0.0
123,"LatAm reports more COVID-19 cases, takes strict measures against virus spread https://t.co/f5SppgLJmM https://t.co/TL5g4Cr8l0",1244315751869067265,en,125,2020-03-29 17:29:28,China Xinhua News,53,15,0.5
124,"#COVID19 deaths in U.S. double within days to top 2,000.
More measures taken to curb #coronavirus spread… https://t.co/QRiEDz6MsC",1244294335186612225,en,129,2020-03-29 16:04:22,China Xinhua News,63,20,0.3333333333333333
125,"Two cruise ships carrying #COVID19 cases allowed to transit through Panama Canal, but any passenger or crew member… https://t.co/cay4kRcIUd",1244293892272353280,en,139,2020-03-29 16:02:36,China Xinhua News,47,16,0.0
126,HKSAR gov't to launch 2nd round of anti-epidemic fund to relieve burden on businesses and residents impacted by… https://t.co/G2hd3gdDkh,1244291622562451456,en,136,2020-03-29 15:53:35,China Xinhua News,45,15,-0.1
127,"Trump gives up quarantine on New York amid rapid spread of #COVID19.
New York state now hardest-hit region in U.S.… https://t.co/IIltVtEiOh",1244289913417170949,en,139,2020-03-29 15:46:47,China Xinhua News,93,35,0.13636363636363635
128,"Hubei has realized complete disposal of previous medical waste and wastewater, achieved total treatment of newly-ad… https://t.co/2tFVi6Jgj5",1244286674718212097,en,140,2020-03-29 15:33:55,China Xinhua News,87,17,-0.021717171717171718
129,"#BREAKING: Global #COVID19 infections top 600,000: WHO https://t.co/hgElKbBkN7",1244283685035073536,en,78,2020-03-29 15:22:02,China Xinhua News,172,56,0.25
130,"Spain reports 838 deaths from #COVID19, new single-day high https://t.co/2nrgaoO5D4 https://t.co/gChYVaPhxm",1244280180006219777,en,107,2020-03-29 15:08:07,China Xinhua News,77,36,0.07497835497835498
131,"Puppy wearing mask on street of Wuhan, China. #coronavirus https://t.co/nW3cpfbI4t",1244265221922963463,en,82,2020-03-29 14:08:40,Twitter Media Studio,531,168,0.0
132,"A race against death! Firefighters pull out trapped workers in Shandong, China in 720 seconds. #rescue https://t.co/vJ7CgnjTgs",1244249624803561479,en,126,2020-03-29 13:06:42,China Xinhua News,378,89,-0.2
133,"Except Wuhan, China's Hubei reopens domestic flights after a suspension for the control of #COVID19 outbreak in Jan… https://t.co/ouHK5oRY0T",1244249567173816321,en,140,2020-03-29 13:06:28,China Xinhua News,177,67,0.0
