,tweets,id,language,len,date,source,likes,retweets,sentiment
68,"RT @BrandonBeckham_: @realDonaldTrump 🇺🇸 We've seen the greatest mobilization of industry since World War II

President @realDonaldTrump is…",1243756098965946368,en,140,2020-03-28 04:25:36,Twitter for iPhone,0,6039,1.0
69,"Such Fake reporting by the @nytimes, @washingtonpost, @CNN &amp; others. They use a small portion of a sentence out of… https://t.co/vUfUlkil2M",1243755076214231040,en,143,2020-03-28 04:21:32,Twitter for iPhone,142085,34720,-0.25
70,https://t.co/GG1pdqME1J,1243728202939449344,und,23,2020-03-28 02:34:45,Twitter for iPhone,47807,10985,0.0
71,https://t.co/w7551gFny1,1243728141199212546,und,23,2020-03-28 02:34:30,Twitter for iPhone,48550,12461,0.0
72,"RT @WhiteHouse: ""My Administration is actively planning the next phase in an all-out war against this horrible virus."" https://t.co/pqejbUi…",1243727357208395792,en,140,2020-03-28 02:31:23,Twitter for iPhone,0,11073,-0.37777777777777777
73,"RT @USNavy: Answering the call, it's what we do. 

#USNSMercy Arrives in Los Angeles in #COVID19 response - https://t.co/lPkSZd4JLH https:/…",1243727255911743488,en,140,2020-03-28 02:30:59,Twitter for iPhone,0,10204,0.0
74,"I love Michigan, one of the reasons we are doing such a GREAT job for them during this horrible Pandemic. Yet your… https://t.co/Zw0TRRZFmD",1243726993537073152,en,139,2020-03-28 02:29:57,Twitter for iPhone,128557,25641,0.07500000000000001
75,She is a third rate reporter who has nothing going. A Fake News “journalist”. https://t.co/SopsC7uMMf,1243705647192997893,en,101,2020-03-28 01:05:07,Twitter for iPhone,69027,17369,-0.25
76,"RT @alx: TRUMP: “The Media and Governors should appreciate it.. When they’re not appreciative of me, they are not appreciative to the Army…",1243704026409177089,en,139,2020-03-28 00:58:41,Twitter for iPhone,0,7968,-0.3
77,"RT @alx: How is that any different than what Hannity has said?

Neither said anything wrong. They did not call Coronavirus a Hoax or Scam,…",1243703536900243456,en,139,2020-03-28 00:56:44,Twitter for iPhone,0,5540,-0.25
78,"RT @alx: FOX Business Network Fires @trish_regan for Telling the Truth About How Liberal Media Was Using Coronavirus to Take Down Trump 

-…",1243703309216690176,en,140,2020-03-28 00:55:50,Twitter for iPhone,0,12602,-0.15555555555555559
79,RT @toddstarnes: Can't say enough wonderful things about @trish_regan - one of the few conservatives in cable television. She's a great pat…,1243703057915023361,en,140,2020-03-28 00:54:50,Twitter for iPhone,0,10445,0.4
80,"We are marshalling the full power of government and society to achieve victory over the virus. Together, we will en… https://t.co/nkcg7pWhLd",1243647273462005760,en,140,2020-03-27 21:13:10,Twitter for iPhone,98178,22351,0.35
81,"RT @SenateGOP: 🚨 Help is on the way. 🚨

President @realdonaldtrump just SIGNED the Coronavirus Aid, Relief &amp; Economic Security Act into law…",1243638744131010561,en,144,2020-03-27 20:39:16,Twitter for iPhone,0,7155,0.2
82,"I just signed the CARES Act, the single biggest economic relief package in American History – twice as large as any… https://t.co/1dDAkK859o",1243637430483390470,en,140,2020-03-27 20:34:03,Twitter for iPhone,64059,17624,0.08571428571428572
83,News conference live from the @WhiteHouse today. 5:30 P.M. Eastern!,1243637134457810945,en,67,2020-03-27 20:32:53,Twitter for iPhone,56526,10145,0.13636363636363635
84,"Thank you to Rachel @Maddow for putting our Military on full display, and showing how GREAT a job the Federal Gover… https://t.co/oei76s5YLO",1243628257871831043,en,140,2020-03-27 19:57:36,Twitter Media Studio,63141,16159,0.35000000000000003
85,RT @SECNAV: Today #USNSMercy arrived @PortofLA to serve as a referral hospital for patients not infected with #COVID19 - handling overflow…,1243606997334982656,en,139,2020-03-27 18:33:07,Twitter for iPhone,0,11156,0.0
86,"RT @WhiteHouse: Huge thanks to @Apple! Together with the White House, @CDCgov &amp; @fema, Apple launched a COVID19 screening tool that guides…",1243596547754991619,en,143,2020-03-27 17:51:36,Twitter for iPhone,0,9872,0.20000000000000004
87,Never knew John Kerry had such a good sense of humor! Very impressed! https://t.co/vCVNMUeY2h,1243572588200280064,en,93,2020-03-27 16:16:24,Twitter for iPhone,104015,20788,0.5666666666666667
88,Thousand of Federal Government (delivered) Ventilators found in New York storage. N.Y. must distribute NOW!,1243566007605755904,en,107,2020-03-27 15:50:15,Twitter for iPhone,144544,41066,0.13636363636363635
